phenocode,phenotype,category,chapter_prefix,num_cases,num_controls,finngen_R12_url
ASTHMA_ACUTE_RESPIRATORY_INFECTIONS,Asthma-related acute respiratory infections,Asthma and related endpoints,Asthma,22761,441248,https://storage.googleapis.com/finngen-public-data-r12/summary_stats/release/finngen_R12_ASTHMA_ACUTE_RESPIRATORY_INFECTIONS.gz
ASTHMA_PNEUMONIA,Asthma-related pneumonia,Asthma and related endpoints,Asthma,16964,441248,https://storage.googleapis.com/finngen-public-data-r12/summary_stats/release/finngen_R12_ASTHMA_PNEUMONIA.gz
ALLERG_ASTHMA,Allergic asthma (mode),Asthma and related endpoints,Asthma,13450,270290,https://storage.googleapis.com/finngen-public-data-r12/summary_stats/release/finngen_R12_ALLERG_ASTHMA.gz
NONALLERG_ASTHMA_EXMORE,Non-allergic asthma (mode) (more control exclusions),Asthma and related endpoints,Asthma,9758,259839,https://storage.googleapis.com/finngen-public-data-r12/summary_stats/release/finngen_R12_NONALLERG_ASTHMA_EXMORE.gz
ASTHMA_CHILD_EXMORE,Childhood asthma (age<16) (more control exclusions),Asthma and related endpoints,Asthma,8402,259839,https://storage.googleapis.com/finngen-public-data-r12/summary_stats/release/finngen_R12_ASTHMA_CHILD_EXMORE.gz
CHILDHOOD_ALLERGY,Childhood allergy (age < 16),Asthma and related endpoints,Asthma,8089,492259,https://storage.googleapis.com/finngen-public-data-r12/summary_stats/release/finngen_R12_CHILDHOOD_ALLERGY.gz
ASTHMA_ALLERG,Asthma and allergy,Asthma and related endpoints,Asthma,6883,267434,https://storage.googleapis.com/finngen-public-data-r12/summary_stats/release/finngen_R12_ASTHMA_ALLERG.gz
INFLUENZA,All influenza (not pneumonia),Asthma and related endpoints,Asthma,6799,415538,https://storage.googleapis.com/finngen-public-data-r12/summary_stats/release/finngen_R12_INFLUENZA.gz
ASTHMA_MIXED_EXMORE,Asthma mixed form (mode) (more control exclusions),Asthma and related endpoints,Asthma,2407,259839,https://storage.googleapis.com/finngen-public-data-r12/summary_stats/release/finngen_R12_ASTHMA_MIXED_EXMORE.gz
ASTHMA_OPPORTUNIST_INFECTIONS,Asthma and opportunity respiratory infection,Asthma and related endpoints,Asthma,1606,441248,https://storage.googleapis.com/finngen-public-data-r12/summary_stats/release/finngen_R12_ASTHMA_OPPORTUNIST_INFECTIONS.gz
PNEUMO_SEPTHICHE,Pneumococcal septicemia,Asthma and related endpoints,Asthma,1167,499120,https://storage.googleapis.com/finngen-public-data-r12/summary_stats/release/finngen_R12_PNEUMO_SEPTHICHE.gz
COPD_LATER,Later onset COPD,COPD and related endpoints,COPD,13535,215585,https://storage.googleapis.com/finngen-public-data-r12/summary_stats/release/finngen_R12_COPD_LATER.gz
COPD_EARLY,Early onset COPD,COPD and related endpoints,COPD,9491,477322,https://storage.googleapis.com/finngen-public-data-r12/summary_stats/release/finngen_R12_COPD_EARLY.gz
VOCALCORDDYS,Vocal cord dysfunction,COPD and related endpoints,COPD,6926,180057,https://storage.googleapis.com/finngen-public-data-r12/summary_stats/release/finngen_R12_VOCALCORDDYS.gz
COPD_OPPORTUNIST_INFECTIONS,COPD related to chronic (opportunist) infections,COPD and related endpoints,COPD,814,477322,https://storage.googleapis.com/finngen-public-data-r12/summary_stats/release/finngen_R12_COPD_OPPORTUNIST_INFECTIONS.gz
FG_CVD,Cardiovascular diseases (excluding rheumatic etc),Cardiometabolic endpoints,Cardiometabolic,247538,252810,https://storage.googleapis.com/finngen-public-data-r12/summary_stats/release/finngen_R12_FG_CVD.gz
FG_OTHHEART,Other heart diseases,Cardiometabolic endpoints,Cardiometabolic,106069,252810,https://storage.googleapis.com/finngen-public-data-r12/summary_stats/release/finngen_R12_FG_OTHHEART.gz
I9_CVD_HARD,Hard cardiovascular diseases,Cardiometabolic endpoints,Cardiometabolic,80527,419821,https://storage.googleapis.com/finngen-public-data-r12/summary_stats/release/finngen_R12_I9_CVD_HARD.gz
I9_HEARTFAIL_AND_OVERWEIGHT,Heart failure and bmi 25plus,Cardiometabolic endpoints,Cardiometabolic,22965,206576,https://storage.googleapis.com/finngen-public-data-r12/summary_stats/release/finngen_R12_I9_HEARTFAIL_AND_OVERWEIGHT.gz
I9_HEARTFAIL_AND_CHD,Heart failure and coronary heart disease,Cardiometabolic endpoints,Cardiometabolic,17532,443698,https://storage.googleapis.com/finngen-public-data-r12/summary_stats/release/finngen_R12_I9_HEARTFAIL_AND_CHD.gz
FG_CARDMYO,Cardiomyopathy (excluding other),Cardiometabolic endpoints,Cardiometabolic,5351,394279,https://storage.googleapis.com/finngen-public-data-r12/summary_stats/release/finngen_R12_FG_CARDMYO.gz
CONGEN_HEART_ARTER,Congenital malformations of heart and great arteries,Cardiometabolic endpoints,Cardiometabolic,5303,495045,https://storage.googleapis.com/finngen-public-data-r12/summary_stats/release/finngen_R12_CONGEN_HEART_ARTER.gz
I9_HEARTFAIL_AND_HYPERTCARDIOM,Heart failure and hypertrophic cardiomyopathy,Cardiometabolic endpoints,Cardiometabolic,561,498972,https://storage.googleapis.com/finngen-public-data-r12/summary_stats/release/finngen_R12_I9_HEARTFAIL_AND_HYPERTCARDIOM.gz
ALLERG_RHINITIS,Allergic rhinitis,Comorbidities of Asthma,Comorbidities,15569,474650,https://storage.googleapis.com/finngen-public-data-r12/summary_stats/release/finngen_R12_ALLERG_RHINITIS.gz
ASTHMA_OBESITY,Obesity related asthma,Comorbidities of Asthma,Comorbidities,15107,441248,https://storage.googleapis.com/finngen-public-data-r12/summary_stats/release/finngen_R12_ASTHMA_OBESITY.gz
POLLENALLERG,Pollen allergy,Comorbidities of Asthma,Comorbidities,8776,487439,https://storage.googleapis.com/finngen-public-data-r12/summary_stats/release/finngen_R12_POLLENALLERG.gz
ASTHMA_EOSINOPHIL_SUGG,Suggestive for eosinophilic asthma,Comorbidities of Asthma,Comorbidities,3565,441248,https://storage.googleapis.com/finngen-public-data-r12/summary_stats/release/finngen_R12_ASTHMA_EOSINOPHIL_SUGG.gz
RHINITIS_VASOMOTOR,Vasomotor rhinitis (mode),Comorbidities of Asthma,Comorbidities,2781,492187,https://storage.googleapis.com/finngen-public-data-r12/summary_stats/release/finngen_R12_RHINITIS_VASOMOTOR.gz
CARDIAC_ARRHYTM,Cardiac arrhythmias,Comorbidities of COPD,Comorbidities,92926,288216,https://storage.googleapis.com/finngen-public-data-r12/summary_stats/release/finngen_R12_CARDIAC_ARRHYTM.gz
COPD_INSUFFICIENCY,COPD-related respiratory insufficiency,Comorbidities of COPD,Comorbidities,4541,477322,https://storage.googleapis.com/finngen-public-data-r12/summary_stats/release/finngen_R12_COPD_INSUFFICIENCY.gz
INV_VENT,Invasive ventilation,Comorbidities of COPD,Comorbidities,2664,493611,https://storage.googleapis.com/finngen-public-data-r12/summary_stats/release/finngen_R12_INV_VENT.gz
C_STROKE,STROKE,Comorbidities of Diabetes,Comorbidities,53492,360342,https://storage.googleapis.com/finngen-public-data-r12/summary_stats/release/finngen_R12_C_STROKE.gz
CHARCOT,Charcot foot,Comorbidities of Diabetes,Comorbidities,594,360342,https://storage.googleapis.com/finngen-public-data-r12/summary_stats/release/finngen_R12_CHARCOT.gz
NEURODEGOTH,Other degenerative diseases of the nervous system,Comorbidities of Gastrointestinal endpoints,Comorbidities,19083,272129,https://storage.googleapis.com/finngen-public-data-r12/summary_stats/release/finngen_R12_NEURODEGOTH.gz
THYROTOXICOSIS,Thyrotoxicosis,Comorbidities of Gastrointestinal endpoints,Comorbidities,11003,486722,https://storage.googleapis.com/finngen-public-data-r12/summary_stats/release/finngen_R12_THYROTOXICOSIS.gz
THYROIDITIS,Thyroiditis,Comorbidities of Gastrointestinal endpoints,Comorbidities,2729,486722,https://storage.googleapis.com/finngen-public-data-r12/summary_stats/release/finngen_R12_THYROIDITIS.gz
SPONDYLOARTHRITIS,Spondyloarthritis,Comorbidities of Interstitial lung disease endpoints,Comorbidities,8508,451874,https://storage.googleapis.com/finngen-public-data-r12/summary_stats/release/finngen_R12_SPONDYLOARTHRITIS.gz
ANTIDEPRESSANTS,Depression medications,Comorbidities of Neurological endpoints,Comorbidities,149403,111976,https://storage.googleapis.com/finngen-public-data-r12/summary_stats/release/finngen_R12_ANTIDEPRESSANTS.gz
MENINGITIS,Meningitis,Comorbidities of Neurological endpoints,Comorbidities,1878,495910,https://storage.googleapis.com/finngen-public-data-r12/summary_stats/release/finngen_R12_MENINGITIS.gz
ANOSMIA,Anosmia,Comorbidities of Neurological endpoints,Comorbidities,980,111976,https://storage.googleapis.com/finngen-public-data-r12/summary_stats/release/finngen_R12_ANOSMIA.gz
T2D,"Type 2 diabetes, definitions combined",Diabetes endpoints,Diabetes,82878,403489,https://storage.googleapis.com/finngen-public-data-r12/summary_stats/release/finngen_R12_T2D.gz
KELA_DIAB_INSUL_EXMORE,"Diabetes, insulin treatment (Kela reimbursement) (more control exclusions)",Diabetes endpoints,Diabetes,77557,403479,https://storage.googleapis.com/finngen-public-data-r12/summary_stats/release/finngen_R12_KELA_DIAB_INSUL_EXMORE.gz
T2D_WIDE,"Type 2 diabetes, wide definition",Diabetes endpoints,Diabetes,55418,405261,https://storage.googleapis.com/finngen-public-data-r12/summary_stats/release/finngen_R12_T2D_WIDE.gz
GEST_DIABETES,Gestational diabetes (for exclusion),Diabetes endpoints,Diabetes,18581,263483,https://storage.googleapis.com/finngen-public-data-r12/summary_stats/release/finngen_R12_GEST_DIABETES.gz
DM_RETINOPATHY,Diabetic retinopathy,Diabetes endpoints,Diabetes,14142,82287,https://storage.googleapis.com/finngen-public-data-r12/summary_stats/release/finngen_R12_DM_RETINOPATHY.gz
DM_RETINOPATHY_EXMORE,Diabetic retinopathy (more control exclusions),Diabetes endpoints,Diabetes,14142,59084,https://storage.googleapis.com/finngen-public-data-r12/summary_stats/release/finngen_R12_DM_RETINOPATHY_EXMORE.gz
DM_RETINOPATHY_STRICT,"Diabetic retinopathy, strict definition",Diabetes endpoints,Diabetes,6833,82271,https://storage.googleapis.com/finngen-public-data-r12/summary_stats/release/finngen_R12_DM_RETINOPATHY_STRICT.gz
DM_NEPHROPATHY,Diabetic nephropathy,Diabetes endpoints,Diabetes,5579,90951,https://storage.googleapis.com/finngen-public-data-r12/summary_stats/release/finngen_R12_DM_NEPHROPATHY.gz
DM_NEPHROPATHY_EXMORE,Diabetic nephropathy (more control exclusions),Diabetes endpoints,Diabetes,5579,59084,https://storage.googleapis.com/finngen-public-data-r12/summary_stats/release/finngen_R12_DM_NEPHROPATHY_EXMORE.gz
T1D,"Type 1 diabetes, definitions combined",Diabetes endpoints,Diabetes,4721,403489,https://storage.googleapis.com/finngen-public-data-r12/summary_stats/release/finngen_R12_T1D.gz
DM_MACULOPATHY,Diabetic maculopathy,Diabetes endpoints,Diabetes,4603,82287,https://storage.googleapis.com/finngen-public-data-r12/summary_stats/release/finngen_R12_DM_MACULOPATHY.gz
DM_NEUROPATHY,Diabetic neuropathy,Diabetes endpoints,Diabetes,3862,92612,https://storage.googleapis.com/finngen-public-data-r12/summary_stats/release/finngen_R12_DM_NEUROPATHY.gz
T1D_EARLY,"Type1 diabetes, definitions combined, early onset",Diabetes endpoints,Diabetes,3051,497297,https://storage.googleapis.com/finngen-public-data-r12/summary_stats/release/finngen_R12_T1D_EARLY.gz
DM_NEOVASCULAR_GLAUCOMA,Neovascular glaucoma,Diabetes endpoints,Diabetes,1494,485314,https://storage.googleapis.com/finngen-public-data-r12/summary_stats/release/finngen_R12_DM_NEOVASCULAR_GLAUCOMA.gz
AUTOIMMUNE,Autoimmune diseases,Diseases marked as autimmune origin,Diseases,128075,372273,https://storage.googleapis.com/finngen-public-data-r12/summary_stats/release/finngen_R12_AUTOIMMUNE.gz
AUTOIMMUNE_NONTHYROID,Autoimmune diseases excluding thyroid diseases,Diseases marked as autimmune origin,Diseases,70570,371089,https://storage.googleapis.com/finngen-public-data-r12/summary_stats/release/finngen_R12_AUTOIMMUNE_NONTHYROID.gz
RX_PARACETAMOL_NSAID,Paracetamol of NSAID medication,Drug purchase endpoints,Drug,427348,73000,https://storage.googleapis.com/finngen-public-data-r12/summary_stats/release/finngen_R12_RX_PARACETAMOL_NSAID.gz
RX_ANTIHYP,Antihypertensive medication - note that there are other indications,Drug purchase endpoints,Drug,273281,227067,https://storage.googleapis.com/finngen-public-data-r12/summary_stats/release/finngen_R12_RX_ANTIHYP.gz
RX_CROHN_1STLINE,First line medication for Crohn's disease,Drug purchase endpoints,Drug,106320,394028,https://storage.googleapis.com/finngen-public-data-r12/summary_stats/release/finngen_R12_RX_CROHN_1STLINE.gz
RX_CODEINE_TRAMADOL,Codeine or tramadol medication,Drug purchase endpoints,Drug,84151,416197,https://storage.googleapis.com/finngen-public-data-r12/summary_stats/release/finngen_R12_RX_CODEINE_TRAMADOL.gz
RX_CROHN_2NDLINE,Second line medication for Crohn's disease,Drug purchase endpoints,Drug,28457,471891,https://storage.googleapis.com/finngen-public-data-r12/summary_stats/release/finngen_R12_RX_CROHN_2NDLINE.gz
RX_GLUCOSAMINE,Glucosamine medication,Drug purchase endpoints,Drug,23215,477133,https://storage.googleapis.com/finngen-public-data-r12/summary_stats/release/finngen_R12_RX_GLUCOSAMINE.gz
RX_INFERTILITY,Medical treatment for female infertility,Drug purchase endpoints,Drug,9381,272683,https://storage.googleapis.com/finngen-public-data-r12/summary_stats/release/finngen_R12_RX_INFERTILITY.gz
RX_RHEUMA_BIOLOGICAL,Biological medication for rheuma,Drug purchase endpoints,Drug,6733,493615,https://storage.googleapis.com/finngen-public-data-r12/summary_stats/release/finngen_R12_RX_RHEUMA_BIOLOGICAL.gz
K11_REIMB_202,Reimbursement for rheumatic diseases,Gastrointestinal endpoints,Gastrointestinal,29473,470875,https://storage.googleapis.com/finngen-public-data-r12/summary_stats/release/finngen_R12_K11_REIMB_202.gz
ULCERNAS,"Ulcerative colitis, NAS",Gastrointestinal endpoints,Gastrointestinal,6080,476577,https://storage.googleapis.com/finngen-public-data-r12/summary_stats/release/finngen_R12_ULCERNAS.gz
CIRRHOSIS_BROAD,"Cirrhosis, broad definition used in the article https://doi.org/10.1101/594523",Gastrointestinal endpoints,Gastrointestinal,5545,494803,https://storage.googleapis.com/finngen-public-data-r12/summary_stats/release/finngen_R12_CIRRHOSIS_BROAD.gz
MUCOPROCT,Mucosal proctocolitis,Gastrointestinal endpoints,Gastrointestinal,5538,476577,https://storage.googleapis.com/finngen-public-data-r12/summary_stats/release/finngen_R12_MUCOPROCT.gz
NAFLD,Nonalcoholic fatty liver disease,Gastrointestinal endpoints,Gastrointestinal,3504,496844,https://storage.googleapis.com/finngen-public-data-r12/summary_stats/release/finngen_R12_NAFLD.gz
ULCERRECT,Ulcerative rectosigmoiditis,Gastrointestinal endpoints,Gastrointestinal,3391,476577,https://storage.googleapis.com/finngen-public-data-r12/summary_stats/release/finngen_R12_ULCERRECT.gz
CHRONOTH,Other Crohn's disease,Gastrointestinal endpoints,Gastrointestinal,2819,476577,https://storage.googleapis.com/finngen-public-data-r12/summary_stats/release/finngen_R12_CHRONOTH.gz
CHRONSMALL,Crohn's disease of small intestine,Gastrointestinal endpoints,Gastrointestinal,2740,476577,https://storage.googleapis.com/finngen-public-data-r12/summary_stats/release/finngen_R12_CHRONSMALL.gz
CHRONNAS,Crohn's disease NAS,Gastrointestinal endpoints,Gastrointestinal,2602,476577,https://storage.googleapis.com/finngen-public-data-r12/summary_stats/release/finngen_R12_CHRONNAS.gz
ULCERPROCT,Ulcerative proctitis,Gastrointestinal endpoints,Gastrointestinal,2417,476577,https://storage.googleapis.com/finngen-public-data-r12/summary_stats/release/finngen_R12_ULCERPROCT.gz
ULCEROTH,Other ulcerative colitis,Gastrointestinal endpoints,Gastrointestinal,2281,476577,https://storage.googleapis.com/finngen-public-data-r12/summary_stats/release/finngen_R12_ULCEROTH.gz
CHRONLARGE,Crohn's disease of large intestine,Gastrointestinal endpoints,Gastrointestinal,2049,476577,https://storage.googleapis.com/finngen-public-data-r12/summary_stats/release/finngen_R12_CHRONLARGE.gz
CHIRHEP_NAS,"Cirrhosis of liver, NAS",Gastrointestinal endpoints,Gastrointestinal,1703,494803,https://storage.googleapis.com/finngen-public-data-r12/summary_stats/release/finngen_R12_CHIRHEP_NAS.gz
ULCERILEO,Ulcerative ileocolitis,Gastrointestinal endpoints,Gastrointestinal,1596,476577,https://storage.googleapis.com/finngen-public-data-r12/summary_stats/release/finngen_R12_ULCERILEO.gz
ULCERENTER,Ulcerative enterocolitis,Gastrointestinal endpoints,Gastrointestinal,1210,476577,https://storage.googleapis.com/finngen-public-data-r12/summary_stats/release/finngen_R12_ULCERENTER.gz
CHIRBIL_PRIM,Primary biliary cholangitis (PBC),Gastrointestinal endpoints,Gastrointestinal,760,372273,https://storage.googleapis.com/finngen-public-data-r12/summary_stats/release/finngen_R12_CHIRBIL_PRIM.gz
K11_CHOLANGI_STRICT,"Cholangitis (primary sclerosing, PSC), with reimbursement 202",Gastrointestinal endpoints,Gastrointestinal,653,470875,https://storage.googleapis.com/finngen-public-data-r12/summary_stats/release/finngen_R12_K11_CHOLANGI_STRICT.gz
AB1_OTHER_BACTERIAL,Other bacterial diseases,I Certain infectious and parasitic diseases (AB1_),I,61300,439048,https://storage.googleapis.com/finngen-public-data-r12/summary_stats/release/finngen_R12_AB1_OTHER_BACTERIAL.gz
AB1_INTESTINAL_INFECTIONS,Intestinal infectious diseases,I Certain infectious and parasitic diseases (AB1_),I,56056,444292,https://storage.googleapis.com/finngen-public-data-r12/summary_stats/release/finngen_R12_AB1_INTESTINAL_INFECTIONS.gz
AB1_GASTROENTERITIS_NOS,Diarrhoea and gastroenteritis of presumed infectious origin,I Certain infectious and parasitic diseases (AB1_),I,39997,444292,https://storage.googleapis.com/finngen-public-data-r12/summary_stats/release/finngen_R12_AB1_GASTROENTERITIS_NOS.gz
AB1_ERYSIPELAS,Erysipelas,I Certain infectious and parasitic diseases (AB1_),I,27918,439048,https://storage.googleapis.com/finngen-public-data-r12/summary_stats/release/finngen_R12_AB1_ERYSIPELAS.gz
AB1_BACTINF_NOS,"Bacterial infection, other or unspecified",I Certain infectious and parasitic diseases (AB1_),I,25506,439048,https://storage.googleapis.com/finngen-public-data-r12/summary_stats/release/finngen_R12_AB1_BACTINF_NOS.gz
AB1_VIRAL_SKIN_MUCOUS_MEMBRANE,Viral infections characterized by skin and mucous membrane lesions,I Certain infectious and parasitic diseases (AB1_),I,20032,480316,https://storage.googleapis.com/finngen-public-data-r12/summary_stats/release/finngen_R12_AB1_VIRAL_SKIN_MUCOUS_MEMBRANE.gz
AB1_OTHER_SEPSIS,Other septicaemia,I Certain infectious and parasitic diseases (AB1_),I,17133,439048,https://storage.googleapis.com/finngen-public-data-r12/summary_stats/release/finngen_R12_AB1_OTHER_SEPSIS.gz
AB1_SEXUAL_TRANSMISSION,Infections with a predominantly sexual mode of transmission,I Certain infectious and parasitic diseases (AB1_),I,14890,485458,https://storage.googleapis.com/finngen-public-data-r12/summary_stats/release/finngen_R12_AB1_SEXUAL_TRANSMISSION.gz
AB1_OTHER_VIRAL,Other viral diseases,I Certain infectious and parasitic diseases (AB1_),I,14261,486087,https://storage.googleapis.com/finngen-public-data-r12/summary_stats/release/finngen_R12_AB1_OTHER_VIRAL.gz
AB1_MYCOSES,Mycoses,I Certain infectious and parasitic diseases (AB1_),I,11371,488977,https://storage.googleapis.com/finngen-public-data-r12/summary_stats/release/finngen_R12_AB1_MYCOSES.gz
AB1_VIRAL_OTHER_INTEST_INFECTIONS,Viral and other specified intestinal infections,I Certain infectious and parasitic diseases (AB1_),I,11050,444292,https://storage.googleapis.com/finngen-public-data-r12/summary_stats/release/finngen_R12_AB1_VIRAL_OTHER_INTEST_INFECTIONS.gz
AB1_OTHER_SPIROCHAETAL,Other spirochaetal diseases,I Certain infectious and parasitic diseases (AB1_),I,10678,489670,https://storage.googleapis.com/finngen-public-data-r12/summary_stats/release/finngen_R12_AB1_OTHER_SPIROCHAETAL.gz
AB1_LYME,Lyme disease,I Certain infectious and parasitic diseases (AB1_),I,10516,489832,https://storage.googleapis.com/finngen-public-data-r12/summary_stats/release/finngen_R12_AB1_LYME.gz
AB1_VIRAL_NOS,"Other viral diseases, not elsewhere classified",I Certain infectious and parasitic diseases (AB1_),I,8325,486087,https://storage.googleapis.com/finngen-public-data-r12/summary_stats/release/finngen_R12_AB1_VIRAL_NOS.gz
AB1_SEXUAL_TRANSMISSION_NOS,"Other predominantly sexually transmitted diseases, not elsewhere classified",I Certain infectious and parasitic diseases (AB1_),I,7854,485458,https://storage.googleapis.com/finngen-public-data-r12/summary_stats/release/finngen_R12_AB1_SEXUAL_TRANSMISSION_NOS.gz
AB1_BACT_INTEST_OTH,Other bacterial intestinal infections,I Certain infectious and parasitic diseases (AB1_),I,7671,444292,https://storage.googleapis.com/finngen-public-data-r12/summary_stats/release/finngen_R12_AB1_BACT_INTEST_OTH.gz
AB1_ZOSTER,Zoster [herpes zoster],I Certain infectious and parasitic diseases (AB1_),I,7132,480316,https://storage.googleapis.com/finngen-public-data-r12/summary_stats/release/finngen_R12_AB1_ZOSTER.gz
AB1_CANDIDIASIS,Candidiasis,I Certain infectious and parasitic diseases (AB1_),I,5341,488977,https://storage.googleapis.com/finngen-public-data-r12/summary_stats/release/finngen_R12_AB1_CANDIDIASIS.gz
AB1_DERMATOPHYTOSIS,Dermatophytosis,I Certain infectious and parasitic diseases (AB1_),I,5071,488977,https://storage.googleapis.com/finngen-public-data-r12/summary_stats/release/finngen_R12_AB1_DERMATOPHYTOSIS.gz
AB1_HERPES_SIMPLEX,Herpesviral [herpes simplex] infections,I Certain infectious and parasitic diseases (AB1_),I,4677,480316,https://storage.googleapis.com/finngen-public-data-r12/summary_stats/release/finngen_R12_AB1_HERPES_SIMPLEX.gz
C_DIFFICILE_ENTEROCOLITIS,Enterocolitis due to Clostridium difficile,I Certain infectious and parasitic diseases (AB1_),I,4250,492689,https://storage.googleapis.com/finngen-public-data-r12/summary_stats/release/finngen_R12_C_DIFFICILE_ENTEROCOLITIS.gz
AB1_VIRAL_WARTS,Viral warts,I Certain infectious and parasitic diseases (AB1_),I,4044,480316,https://storage.googleapis.com/finngen-public-data-r12/summary_stats/release/finngen_R12_AB1_VIRAL_WARTS.gz
AB1_EBV,Infectious mononucleosis,I Certain infectious and parasitic diseases (AB1_),I,3838,486087,https://storage.googleapis.com/finngen-public-data-r12/summary_stats/release/finngen_R12_AB1_EBV.gz
AB1_BACT_BIR_OTHER_INF_AGENTS,"Bacterial, viral and other infectious agents",I Certain infectious and parasitic diseases (AB1_),I,3521,496827,https://storage.googleapis.com/finngen-public-data-r12/summary_stats/release/finngen_R12_AB1_BACT_BIR_OTHER_INF_AGENTS.gz
AB1_STREPTO_SEPSIS,Streptococcal septicaemia,I Certain infectious and parasitic diseases (AB1_),I,3239,439048,https://storage.googleapis.com/finngen-public-data-r12/summary_stats/release/finngen_R12_AB1_STREPTO_SEPSIS.gz
AB1_SEQULEAE_OF_INFECTIONS_AND_PARASITES,Sequelae of infectious and parasitic diseases,I Certain infectious and parasitic diseases (AB1_),I,3188,497160,https://storage.googleapis.com/finngen-public-data-r12/summary_stats/release/finngen_R12_AB1_SEQULEAE_OF_INFECTIONS_AND_PARASITES.gz
AB1_TUBERCULOSIS,"Tuberculosis, wide",I Certain infectious and parasitic diseases (AB1_),I,3063,497285,https://storage.googleapis.com/finngen-public-data-r12/summary_stats/release/finngen_R12_AB1_TUBERCULOSIS.gz
AB1_VIRAL_HEMOR_FEVER_NOS,"Viral haemorrhagic fevers, not elsewhere classified/unspecified",I Certain infectious and parasitic diseases (AB1_),I,3042,496577,https://storage.googleapis.com/finngen-public-data-r12/summary_stats/release/finngen_R12_AB1_VIRAL_HEMOR_FEVER_NOS.gz
AB1_OTHER_INFECTIONS,Other infectious diseases,I Certain infectious and parasitic diseases (AB1_),I,3031,497317,https://storage.googleapis.com/finngen-public-data-r12/summary_stats/release/finngen_R12_AB1_OTHER_INFECTIONS.gz
AB1_VIRAL_CNS,Viral infections of the central nervous system,I Certain infectious and parasitic diseases (AB1_),I,2847,497501,https://storage.googleapis.com/finngen-public-data-r12/summary_stats/release/finngen_R12_AB1_VIRAL_CNS.gz
AB1_CHLAMYDIA_OTHER,Other sexually transmitted chlamydial diseases,I Certain infectious and parasitic diseases (AB1_),I,2782,485458,https://storage.googleapis.com/finngen-public-data-r12/summary_stats/release/finngen_R12_AB1_CHLAMYDIA_OTHER.gz
AB1_VIRAL_HEPATITIS,Viral hepatitis,I Certain infectious and parasitic diseases (AB1_),I,2776,497572,https://storage.googleapis.com/finngen-public-data-r12/summary_stats/release/finngen_R12_AB1_VIRAL_HEPATITIS.gz
AB1_ANOGENITAL_HERPES_SIMPLEX,Anogenital herpesviral [herpes simplex] infection,I Certain infectious and parasitic diseases (AB1_),I,2510,485458,https://storage.googleapis.com/finngen-public-data-r12/summary_stats/release/finngen_R12_AB1_ANOGENITAL_HERPES_SIMPLEX.gz
BACT_INTEST_INFECTION_NOS,Other specified/unspecified bacterial intestinal infections,I Certain infectious and parasitic diseases (AB1_),I,2356,492689,https://storage.googleapis.com/finngen-public-data-r12/summary_stats/release/finngen_R12_BACT_INTEST_INFECTION_NOS.gz
